year,rank,restaurant,location,country,lat,lng
2021,1,Noma,Copenhagen,Denmark,55.6760968,12.5683371
2021,2,Geranium,Copenhagen,Denmark,55.6760968,12.5683371
2021,3,Asador Etxebarri,Atxondo,Spain,43.131605,-2.5832703
2021,4,Central,Lima,Peru,-12.0466888,-77.0430885
2021,5,Disfrutar,Barcelona,Spain,41.3873974,2.168568
2021,6,Frantzén,Stockholm,Sweden,59.3293234,18.0685808
2021,7,Maido,Lima,Peru,-12.0466888,-77.0430885
2021,8,Odette,Singapore,Singapore,1.352083,103.819836
2021,9,Pujol,Mexico City,Mexico,19.4326077,-99.133208
2021,10,The Chairman,Hong Kong,Hong Kong,22.3193039,114.1693611
2021,11,Den,Tokyo,Japan,35.6764225,139.650027
2021,12,Steirereck,Vienna,Austria,48.2080695,16.3713095
2021,13,Don Julio,Buenos Aires,Argentina,-34.6036844,-58.3815591
2021,14,Mugaritz,San Sebastian,Spain,43.318237,-1.9817051
2021,15,Lido 84,Gardone Riviera,Italy,45.623397,10.5636497
2021,16,Elkano,Getaria,Spain,43.3077339,-2.2021494
2021,17,A Casa do Porco,São Paulo,Brazil,-23.5557714,-46.6395571
2021,18,Piazza Duomo,Alba,Italy,44.7009526,8.0353488
2021,19,Narisawa,Tokyo,Japan,35.6764225,139.650027
2021,20,DiverXO,Madrid,Spain,40.41672790,-3.7032905
2021,21,Hiša Franko,Kobarid,Slovenia,46.2476549,13.5791749
2021,22,Cosme,New York,United States,40.7127753,-74.0059728
2021,23,Arpège,Paris,France,48.8575475,2.3513765
2021,24,Septime,Paris,France,48.8575475,2.3513765
2021,25,White Rabbit,Moscow,Russia,55.755826,37.6173
2021,26,Le Calandre,Rubano,Italy,45.4262382,11.7937858
2021,27,Quintonil,Mexico City,Mexico,19.4326077,-99.133208
2021,28,Benu,San Francisco,United States,37.7749295,-122.4194155
2021,29,Reale,Castel di Sangro,Italy,41.783948,14.1081016
2021,30,Twins Garden,Moscow,Russia,55.755826,37.6173
2021,31,Restaurant Tim Raue,Berlin,Germany,52.5200065,13.404954
2021,32,The Clove Club,London,United Kingdom,51.5072178,-0.1275862
2021,33,Lyle's,London,United Kingdom,51.5072178,-0.1275862
2021,34,Burnt Ends,Singapore,Singapore,1.352083,103.819836
2021,35,Ultraviolet by Paul Pairet,Shanghai,China,31.230416,121.473701
2021,36,Hof Van Cleve,Kruishoutem,Belgium,50.9044989,3.5281414
2021,37,SingleThread,Healdsburg,United States,38.6081693,-122.8700509
2021,38,Boragó,Santiago,Chile,-33.4488897,-70.6692655
2021,39,Florilège,Tokyo,Japan,35.6764225,139.650027
2021,40,Sühring,Bangkok,Thailand,13.7563309,100.5017651
2021,41,Alléno Paris au Pavillon Ledoyen,Paris,France,48.8575475,2.3513765
2021,42,Belcanto,Lisbon,Portugal,38.7222524,-9.1393366
2021,43,Atomix,New York,United States,40.7127753,-74.0059728
2021,44,Le Bernardin,New York,United States,40.7127753,-74.0059728
2021,45,Nobelhart & Schmutzig,Berlin,Germany,52.5200065,13.404954
2021,46,Leo,Bogotá,Colombia,4.71098859,-74.072092
2021,47,Maaemo,Oslo,Norway,59.9138688,10.7522454
2021,48,Atelier Crenn,San Francisco,United States,37.7749295,-122.4194155
2021,49,Azurmendi,Larrabetzu,Spain,43.2609878,-2.7960332
2021,50,Wolfgat,Paternoster,South Africa,-32.8095585,17.8946521
2022,1,Geranium,Copenhagen,Denmark,55.6760968,12.5683371
2022,2,Central,Lima,Peru,-12.0466888,-77.0430885
2022,3,Disfrutar,Barcelona,Spain,41.3873974,2.168568
2022,4,Diverxo,Madrid,Spain,40.41672790,-3.7032905
2022,5,Pujol,Mexico City,Mexico,19.4326077,-99.133208
2022,6,Asador Etxebarri,Atxondo,Spain,43.131605,-2.5832703
2022,7,A Casa do Porco,São Paulo,Brazil,-23.5557714,-46.6395571
2022,8,Lido 84,Gardone Riviera,Italy,45.623397,10.5636497
2022,9,Quintonil,Mexico City,Mexico,19.4326077,-99.133208
2022,10,Le Calandre,Rubano,Italy,45.4262382,11.7937858
2022,11,Maido,Lima,Peru,-12.0466888,-77.0430885
2022,12,Uliassi,Senigallia,Italy,43.7197926,13.2152224
2022,13,Steirereck,Vienna,Austria,48.2080695,16.3713095
2022,14,Don Julio,Buenos Aires,Argentina,-34.6036844,-58.3815591
2022,15,Reale,Castel di Sangro,Italy,41.783948,14.1081016
2022,16,Elkano,Getaria,Spain,43.3077339,-2.2021494
2022,17,Nobelhart & Schmutzig,Berlin,Germany,52.5200065,13.404954
2022,18,Alchemist,Copenhagen,Denmark,55.6760968,12.5683371
2022,19,Piazza Duomo,Alba,Italy,44.7009526,8.0353488
2022,20,Den,Tokyo,Japan,35.6764225,139.650027
2022,21,Mugaritz,San Sebastian,Spain,43.318237,-1.9817051
2022,22,Septime,Paris,France,48.8575475,2.3513765
2022,23,The Jane,Antwerp,Belgium,51.2213404,4.4051485
2022,24,The Chairman,Hong Kong,Hong Kong,22.3193039,114.1693611
2022,25,Frantzén,Stockholm,Sweden,59.3293234,18.0685808
2022,26,Restaurant Tim Raue,Berlin,Germany,52.5200065,13.404954
2022,27,Hof Van Cleve,Kruishoutem,Belgium,50.9044989,3.5281414
2022,28,Le Clarence,Paris,France,48.8575475,2.3513765
2022,29,St. Hubertus,San Cassiano,Italy,46.5700687,11.9360615
2022,30,Florilège,Tokyo,Japan,35.6764225,139.650027
2022,31,Arpège,Paris,France,48.8575475,2.3513765
2022,32,Mayta,Lima,Peru,-12.0466888,-77.0430885
2022,33,Atomix,New York,United States,40.7127753,-74.0059728
2022,34,Hiša Franko,Kobarid,Slovenia,46.2476549,13.5791749
2022,35,The Clove Club,London,United Kingdom,51.5072178,-0.1275862
2022,36,Odette,Singapore,Singapore,1.352083,103.819836
2022,37,Fyn,Cape Town,South Africa,-33.922087,18.4231418
2022,38,Jordnær,Copenhagen,Denmark,55.6760968,12.5683371
2022,39,Sorn,Bangkok,Thailand,13.7563309,100.5017651
2022,40,Schloss Schauenstein,Fürstenau,Germany,52.5179395,7.674365
2022,41,La Cime,Osaka,Japan,34.6937249,135.5022535
2022,42,Quique Dacosta,Dénia,Spain,38.8387992,0.1050557
2022,43,Boragó,Santiago,Chile,-33.4488897,-70.6692655
2022,44,Le Bernardin,New York,United States,40.7127753,-74.0059728
2022,45,Narisawa,Tokyo,Japan,35.6764225,139.650027
2022,46,Belcanto,Lisbon,Portugal,38.7222524,-9.1393366
2022,47,Oteque,Rio de Janeiro,Brazil,-22.9068467,-43.1728965
2022,48,Leo,Bogotá,Colombia,4.71098859,-74.072092
2022,49,Ikoyi,London,United Kingdom,51.5072178,-0.1275862
2022,50,SingleThread,Healdsburg,United States,38.6081693,-122.8700509
2023,1,Central ,Lima,Peru,-12.0466888,-77.0430885
2023,2,Disfrutar,Barcelona,Spain,41.3873974,2.168568
2023,3,Diverxo,Madrid,Spain,40.41672790,-3.7032905
2023,4,Asador Etxebarri,Atxondo,Spain,43.131605,-2.5832703
2023,5,Alchemist,Copenhagen,Denmark,55.6760968,12.5683371
2023,6,Maido,Lima,Peru,-12.0466888,-77.0430885
2023,7,Lido 84,Gardone Riviera,Italy,45.623397,10.5636497
2023,8,Atomix,New York,United States,40.7127753,-74.0059728
2023,9,Quintonil,Mexico City,Mexico,19.4326077,-99.133208
2023,10,Table by Bruno Verjus,Paris,France,48.8575475,2.3513765
2023,11,Trèsind Studio,Dubai ,United Arab Emirates,25.2048493,55.2707828
2023,12,A Casa do Porco,São Paulo,Brazil,-23.5557714,-46.6395571
2023,13,Pujol,Mexico City,Mexico,19.4326077,-99.133208
2023,14,Odette,Singapore,Singapore,1.352083,103.819836
2023,15,Le Du,Bangkok,Thailand,13.7563309,100.5017651
2023,16,Reale,Castel di Sangro,Italy,41.783948,14.1081016
2023,17,Gaggan Anand,Bangkok,Thailand,13.7563309,100.5017651
2023,18,Steirereck,Vienna,Austria,48.2080695,16.3713095
2023,19,Don Julio,Buenos Aires,Argentina,-34.6036844,-58.3815591
2023,20,Quique Dacosta,Dénia,Spain,38.8387992,0.1050557
2023,21,Den,Tokyo,Japan,35.6764225,139.650027
2023,22,Elkano,Getaria,Spain,43.3077339,-2.2021494
2023,23,Kol,London,United Kingdom,51.5072178,-0.1275862
2023,24,Septime,Paris,France,48.8575475,2.3513765
2023,25,Belcanto,Lisbon,Portugal,38.7222524,-9.1393366
2023,26,Schloss Schauenstein,Fürstenau,Germany,52.5179395,7.674365
2023,27,Florilège,Tokyo,Japan,35.6764225,139.650027
2023,28,Kjolle,Lima,Peru,-12.0466888,-77.0430885
2023,29,Boragó,Santiago,Chile,-33.4488897,-70.6692655
2023,30,Frantzén,Stockholm,Sweden,59.3293234,18.0685808
2023,31,Mugaritz,San Sebastian,Spain,43.318237,-1.9817051
2023,32,Hiša Franko,Kobarid,Slovenia,46.2476549,13.5791749
2023,33,El Chato,Bogotá,Colombia,4.71098859,-74.072092
2023,34,Uliassi,Senigallia,Italy,43.7197926,13.2152224
2023,35,Ikoyi,London,United Kingdom,51.5072178,-0.1275862
2023,36,Plénitude,Paris,France,48.8575475,2.3513765
2023,37,Sézanne,Tokyo,Japan,35.6764225,139.650027
2023,38,The Clove Club,London,United Kingdom,51.5072178,-0.1275862
2023,39,The Jane,Antwerp,Belgium,51.2213404,4.4051485
2023,40,Restaurant Tim Raue,Berlin,Germany,52.5200065,13.404954
2023,41,Le Calandre,Rubano,Italy,45.4262382,11.7937858
2023,42,Piazza Duomo,Alba,Italy,44.7009526,8.0353488
2023,43,Leo,Bogotá,Colombia,4.71098859,-74.072092
2023,44,Le Bernardin,New York,United States,40.7127753,-74.0059728
2023,45,Nobelhart & Schmutzig,Berlin,Germany,52.5200065,13.404954
2023,46,Orfali Bros Bistro,Dubai,United Arab Emirates,25.2048493,55.2707828
2023,47,Mayta,Lima,Peru,-12.0466888,-77.0430885
2023,48,La Grenouillère,La Madelaine-sous-Montreuil,France,50.466809,1.748056
2023,49,Rosetta,Mexico City,Mexico,19.4326077,-99.133208
2023,50,The Chairman,Hong Kong,Hong Kong,22.3193039,114.1693611
